BIRD.ID,Bird.age,Age.next.season,Pre.Rain,Post.Rain,RTL.12,Ad.Grp.size,D4.Mass,Sex,Predation,Birth.Clutch,Group,Season,Surv.next.ssn,fledged,D12.Mass
UUBLC,12,204,161.5,163.5,0.866602335,3,NA,F,NA,XM015,XM,2013-14,1,NA,35.08
OAC,12,206,117.5,204,0.859023362,2,NA,M,NA,FO025,FO,2013-14,0,NA,34.83
UUBSI,12,264,68,124.5,0.900712492,3,NA,F,NA,RA017,RA,2013-14,1,NA,29.01
OIA,12,200,163,162,1.134676783,3,NA,F,NA,AY022,AY,2013-14,0,NA,33.79
UUBOL,13,269,31.5,129.5,1.438901732,2,NA,M,NA,OK013,OK,2013-14,0,NA,35.066
UUOBO,11,190,78,154,1.335858443,2,NA,M,NA,PU025,PU,2013-14,1,NA,37.194
UUBOS,14,270,31.5,129.5,0.670384112,2,NA,F,NA,NY014,NY,2013-14,0,NA,31.512
NAB,12,267,57.5,117.5,0.952176926,2,NA,M,NA,RO005,RO,2013-14,0,NA,31.01
UUNSS,11,261,68,124.5,0.722442173,2,NA,M,NA,SU014,SU,2013-14,1,NA,24.294
OLR,12,261,72.5,120,1.333405517,3,NA,F,NA,UB016,UB,2013-14,0,NA,31.46
UUBAA,11,196,84,162,1.253128456,2,NA,M,NA,IN020,IN,2013-14,1,NA,37.184
OLU,12,184,132.5,90.5,0.927263564,2,NA,M,NA,DA009,DA,2013-14,0,NA,39.78
UUBSB,13,210,110.5,211,0.929390062,3,NA,F,NA,RA018,RA,2013-14,1,NA,31.686
UUBLN,12,261,72.5,120,1.230457098,4,NA,F,NA,AY021,AY,2013-14,1,NA,27.99
UUOIO,10,202,161.5,163.5,0.906664524,3,NA,M,NA,XM015,XM,2013-14,1,NA,41.168
UUBSU,11,204,161.5,163.5,1.195391267,2,NA,M,NA,MO015,MO,2013-14,1,NA,32.244
NSO,12,213,114.5,211,1.032916027,3,NA,F,NA,QU016,QU,2013-14,0,NA,34.4
UUBUL,12,249,49,167,1.15351551,2,NA,M,NA,TI008,TI,2013-14,0,NA,35.05
UUBUS,11,202,163,162,1.463266795,2,NA,F,NA,JA019,JA,2013-14,1,NA,36.014
UUBRI,12,212,114.5,211,1.054555119,3,NA,M,NA,YI012,YI,2013-14,1,NA,34.97
UUOBL,12,173,158.5,25.5,1.110137891,2,NA,F,NA,VA017,VA,2013-14,1,NA,33.84
ORA,10,203,161.5,163.5,1.334891147,2,NA,F,NA,MO015,MO,2013-14,1,NA,31.198
NAS,12,259,72.5,120,0.93575279,3,NA,F,NA,JE006,JE,2013-14,0,NA,23.57
UUOIB,11,200,163,162,0.928829265,3,NA,M,NA,HY021,HY,2013-14,1,NA,35.784
UUNSR,12,264,68,124.5,1.263823969,2,NA,M,NA,YE006,YE,2013-14,1,NA,38.09
OBO,11,201,163,162,1.226735279,2,NA,F,NA,ZE013,ZE,2013-14,0,NA,31.094
UUOUL,12,238,50.5,163,0.980656438,2,NA,F,NA,LE017,LE,2013-14,1,NA,34.78
NRL,12,272,31.5,129.5,1.581089767,3,NA,M,NA,KU010,KU,2013-14,0,NA,35
UUBRU,12,197,84,162,1.036806819,2,NA,F,NA,YE007,YE,2013-14,1,NA,36.01
OBS,12,183,132.5,90.5,0.935094363,2,NA,F,NA,OK015,OK,2013-14,0,NA,30.04
